tempo,angulo
"15,53","-1,557"
"15,55","-1,557"
"15,57","-1,557"
"15,58","-1,557"
"15,6","-1,557"
"15,62","-1,557"
"15,63","-1,547"
"15,65","-1,547"
"15,67","-1,547"
"15,68","-1,552"
"15,7","-1,577"
"15,72","-1,577"
"15,73","-1,577"
"15,75","-1,577"
"15,77","-1,582"
"15,78","-1,582"
"15,8","-1,582"
"15,82","-1,587"
